flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
5Y 5528_2026-09-11,5Y 5528,GTI,2026-09-11,04:30,AMS,Cancelled,,arrival,2026-09-14T14:39:22+08:00
RH 459D_2026-09-11,RH 459D,HKC,2026-09-11,06:10,TPE,Est at 15:58 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
CX 3275_2026-09-11,CX 3275,CPA,2026-09-11,22:25,"IAH,ANC",At gate 04:34 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
RH 318_2026-09-12,RH 318,HKC,2026-09-12,13:00,HAN,At gate 04:11 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
RH 372_2026-09-12,RH 372,HKC,2026-09-12,20:40,SIN,At gate 06:10 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
RH 704_2026-09-13,RH 704,HKC,2026-09-13,01:10,BNE,Est at 20:24 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
5Y 5579_2026-09-13,5Y 5579,GTI,2026-09-13,11:20,AMS,Cancelled,,arrival,2026-09-14T14:39:22+08:00
5Y 8373_2026-09-13,5Y 8373,GTI,2026-09-13,13:00,HAN,At gate 01:10 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
RH 830_2026-09-13,RH 830,HKC,2026-09-13,13:30,PVG,At gate 08:12 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
RH 332_2026-09-13,RH 332,HKC,2026-09-13,15:10,BKK,At gate 13:00 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
CV 4806_2026-09-13,CV 4806,CLX,2026-09-13,16:35,LUX,At gate 02:25 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
C8 9266_2026-09-13,C8 9266,ICV,2026-09-13,17:30,"MXP,NRT",Est at 15:45 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
F5 8817_2026-09-13,F5 8817,ATG,2026-09-13,21:00,KTM,At gate 00:10 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
WW 861_2026-09-13,WW 861,KXP,2026-09-13,21:45,BKI,At gate 00:15 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
CV 7956_2026-09-13,CV 7956,CLX,2026-09-13,22:40,"LUX,ASB,HAN",At gate 00:07 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
5Y 9223_2026-09-13,5Y 9223,GTI,2026-09-13,23:20,ORD,At gate 02:49 (14/09/2026),,arrival,2026-09-14T14:39:22+08:00
KZ 203_2026-09-14,KZ 203,NCA,2026-09-14,00:10,NRT,At gate 01:29,,arrival,2026-09-14T14:39:22+08:00
5X 168_2026-09-14,5X 168,UPS,2026-09-14,00:20,"SDF,SIN,PEN,SGN",At gate 00:02,,arrival,2026-09-14T14:39:22+08:00
