flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
SV 983_2026-09-15,SV 983,SVA,2026-09-15,21:30,RUH,Est at 03:20 (16/09/2026),,departure,2026-09-14T14:20:03+08:00
ET 3785_2026-09-16,ET 3785,ETH,2026-09-16,00:00,"MCT,MAD",Cancelled,,departure,2026-09-14T14:20:03+08:00
ET 3791_2026-09-16,ET 3791,ETH,2026-09-16,00:00,LGG,Cancelled,,departure,2026-09-14T14:20:03+08:00
Y9 2566_2026-09-16,Y9 2566,SGA,2026-09-16,00:15,"DAC,BAH",,,departure,2026-09-14T14:20:03+08:00
RH 4568_2026-09-16,RH 4568,HKC,2026-09-16,00:15,TPE,,,departure,2026-09-14T14:20:03+08:00
RH 829_2026-09-16,RH 829,HKC,2026-09-16,00:15,PVG,,,departure,2026-09-14T14:20:03+08:00
3G 801_2026-09-16,3G 801,WCM,2026-09-16,00:30,KUL,,,departure,2026-09-14T14:20:03+08:00
QR 8441_2026-09-16,QR 8441,QTR,2026-09-16,00:40,DOH,,,departure,2026-09-14T14:20:03+08:00
CX 006_2026-09-16,CX 006,CPA,2026-09-16,00:50,NRT,,,departure,2026-09-14T14:20:03+08:00
KZ 202_2026-09-16,KZ 202,NCA,2026-09-16,01:25,NRT,,,departure,2026-09-14T14:20:03+08:00
CX 096_2026-09-16,CX 096,CPA,2026-09-16,01:30,"ANC,NLU",,,departure,2026-09-14T14:20:03+08:00
QR 8439_2026-09-16,QR 8439,QTR,2026-09-16,02:00,DOH,,,departure,2026-09-14T14:20:03+08:00
NH 8512_2026-09-16,NH 8512,ANA,2026-09-16,02:25,NRT,,,departure,2026-09-14T14:20:03+08:00
KJ 974_2026-09-16,KJ 974,AIH,2026-09-16,02:35,ICN,Est at 02:30,,departure,2026-09-14T14:20:03+08:00
CI 5826_2026-09-16,CI 5826,CAL,2026-09-16,03:00,TPE,,,departure,2026-09-14T14:20:03+08:00
KE 314_2026-09-16,KE 314,KAL,2026-09-16,03:10,ICN,,,departure,2026-09-14T14:20:03+08:00
LD 204_2026-09-16,LD 204,AHK,2026-09-16,03:15,KIX,,,departure,2026-09-14T14:20:03+08:00
LD 128_2026-09-16,LD 128,AHK,2026-09-16,03:20,ICN,,,departure,2026-09-14T14:20:03+08:00
BR 6538_2026-09-16,BR 6538,EVA,2026-09-16,03:20,TPE,,,departure,2026-09-14T14:20:03+08:00
LD 208_2026-09-16,LD 208,AHK,2026-09-16,03:25,NRT,,,departure,2026-09-14T14:20:03+08:00
LD 327_2026-09-16,LD 327,AHK,2026-09-16,03:25,SIN,,,departure,2026-09-14T14:20:03+08:00
LD 768_2026-09-16,LD 768,AHK,2026-09-16,03:25,PEK,,,departure,2026-09-14T14:20:03+08:00
LD 216_2026-09-16,LD 216,AHK,2026-09-16,03:30,NGO,,,departure,2026-09-14T14:20:03+08:00
8K 526_2026-09-16,8K 526,KMI,2026-09-16,03:30,BKK,,,departure,2026-09-14T14:20:03+08:00
LD 457_2026-09-16,LD 457,AHK,2026-09-16,03:35,"MNL,CEB",,,departure,2026-09-14T14:20:03+08:00
LD 782_2026-09-16,LD 782,AHK,2026-09-16,03:40,PVG,,,departure,2026-09-14T14:20:03+08:00
LD 831_2026-09-16,LD 831,AHK,2026-09-16,03:40,BKK,,,departure,2026-09-14T14:20:03+08:00
LD 561_2026-09-16,LD 561,AHK,2026-09-16,03:45,SGN,,,departure,2026-09-14T14:20:03+08:00
TH 3508_2026-09-16,TH 3508,RMY,2026-09-16,03:45,KUL,,,departure,2026-09-14T14:20:03+08:00
3S 748_2026-09-16,3S 748,BOX,2026-09-16,04:00,LAX,,,departure,2026-09-14T14:20:03+08:00
3Y 6011_2026-09-16,3Y 6011,MYU,2026-09-16,04:00,CGK,,,departure,2026-09-14T14:20:03+08:00
HJ 022_2026-09-16,HJ 022,TMN,2026-09-16,04:00,SYD,,,departure,2026-09-14T14:20:03+08:00
LD 720_2026-09-16,LD 720,AHK,2026-09-16,04:05,CTU,,,departure,2026-09-14T14:20:03+08:00
TH 3091_2026-09-16,TH 3091,RMY,2026-09-16,04:15,PEN,,,departure,2026-09-14T14:20:03+08:00
LD 680_2026-09-16,LD 680,AHK,2026-09-16,04:20,TPE,,,departure,2026-09-14T14:20:03+08:00
TK 6351_2026-09-16,TK 6351,THY,2026-09-16,04:20,IST,,,departure,2026-09-14T14:20:03+08:00
CX 2090_2026-09-16,CX 2090,CPA,2026-09-16,04:25,"ANC,LAX,DFW",,,departure,2026-09-14T14:20:03+08:00
K4 280_2026-09-16,K4 280,CKS,2026-09-16,04:30,"ANC,CVG",Est at 04:55,,departure,2026-09-14T14:20:03+08:00
MB 6030_2026-09-16,MB 6030,MNB,2026-09-16,04:50,SHJ,,,departure,2026-09-14T14:20:03+08:00
EK 9831_2026-09-16,EK 9831,UAE,2026-09-16,05:00,DWC,,,departure,2026-09-14T14:20:03+08:00
ET 3769_2026-09-16,ET 3769,ETH,2026-09-16,05:05,"EMA,ADD",Est at 02:05,,departure,2026-09-14T14:20:03+08:00
K4 704_2026-09-16,K4 704,CKS,2026-09-16,05:15,"GYD,TLV",,,departure,2026-09-14T14:20:03+08:00
3S 713_2026-09-16,3S 713,BOX,2026-09-16,05:35,"DXB,LEJ",,,departure,2026-09-14T14:20:03+08:00
3S 735_2026-09-16,3S 735,BOX,2026-09-16,05:40,"BLR,LEJ",,,departure,2026-09-14T14:20:03+08:00
ES 728_2026-09-16,ES 728,DHX,2026-09-16,05:40,BAH,,,departure,2026-09-14T14:20:03+08:00
3S 523_2026-09-16,3S 523,BOX,2026-09-16,05:45,"BAH,LEJ",,,departure,2026-09-14T14:20:03+08:00
QR 8411_2026-09-16,QR 8411,QTR,2026-09-16,05:45,DOH,,,departure,2026-09-14T14:20:03+08:00
FX 5023_2026-09-16,FX 5023,FDX,2026-09-16,06:00,"IST,CDG,LGG,MEM",,,departure,2026-09-14T14:20:03+08:00
K4 253_2026-09-16,K4 253,CKS,2026-09-16,06:40,"YHM,CVG",,,departure,2026-09-14T14:20:03+08:00
D0 591_2026-09-16,D0 591,DHK,2026-09-16,06:40,"DEL,EMA",,,departure,2026-09-14T14:20:03+08:00
K4 243_2026-09-16,K4 243,CKS,2026-09-16,07:00,"ANC,CVG",,,departure,2026-09-14T14:20:03+08:00
RH 331_2026-09-16,RH 331,HKC,2026-09-16,07:00,BKK,,,departure,2026-09-14T14:20:03+08:00
N8 503_2026-09-16,N8 503,NCR,2026-09-16,07:00,"RUH,AUG",,,departure,2026-09-14T14:20:03+08:00
CT 3571_2026-09-16,CT 3571,AAE,2026-09-16,07:00,"HRI,JNB",,,departure,2026-09-14T14:20:03+08:00
HQ 5211_2026-09-16,HQ 5211,ADZ,2026-09-16,07:00,MBA,,,departure,2026-09-14T14:20:03+08:00
CT 131_2026-09-16,CT 131,AAE,2026-09-16,07:05,DWC,,,departure,2026-09-14T14:20:03+08:00
ET 3767_2026-09-16,ET 3767,ETH,2026-09-16,07:10,LGG,Cancelled,,departure,2026-09-14T14:20:03+08:00
K4 591_2026-09-16,K4 591,CKS,2026-09-16,07:15,"ICN,ANC",,,departure,2026-09-14T14:20:03+08:00
QR 8435_2026-09-16,QR 8435,QTR,2026-09-16,07:15,DOH,,,departure,2026-09-14T14:20:03+08:00
3V 533_2026-09-16,3V 533,TAY,2026-09-16,07:30,"DWC,BRU",,,departure,2026-09-14T14:20:03+08:00
CV 515_2026-09-16,CV 515,CLX,2026-09-16,08:00,"GYD,LUX",,,departure,2026-09-14T14:20:03+08:00
RH 371_2026-09-16,RH 371,HKC,2026-09-16,08:05,SIN,,,departure,2026-09-14T14:20:03+08:00
CX 2075_2026-09-16,CX 2075,CPA,2026-09-16,08:15,SIN,,,departure,2026-09-14T14:20:03+08:00
3S 515_2026-09-16,3S 515,BOX,2026-09-16,08:30,LEJ,,,departure,2026-09-14T14:20:03+08:00
EK 9861_2026-09-16,EK 9861,UAE,2026-09-16,08:40,DWC,Est at 08:55,,departure,2026-09-14T14:20:03+08:00
KJ 952_2026-09-16,KJ 952,AIH,2026-09-16,09:20,ICN,,,departure,2026-09-14T14:20:03+08:00
QR 8403_2026-09-16,QR 8403,QTR,2026-09-16,09:35,DOH,,,departure,2026-09-14T14:20:03+08:00
RH 709_2026-09-16,RH 709,HKC,2026-09-16,09:50,DRW,,,departure,2026-09-14T14:20:03+08:00
QY 657_2026-09-16,QY 657,BCS,2026-09-16,09:50,"GYD,LEJ",,,departure,2026-09-14T14:20:03+08:00
O3 268_2026-09-16,O3 268,CSS,2026-09-16,09:55,NGB,,,departure,2026-09-14T14:20:03+08:00
CX 3408_2026-09-16,CX 3408,CPA,2026-09-16,10:05,"ANC,NLU,GDL",,,departure,2026-09-14T14:20:03+08:00
5X 067_2026-09-16,5X 067,UPS,2026-09-16,10:15,"ANC,SDF",,,departure,2026-09-14T14:20:03+08:00
CX 3174_2026-09-16,CX 3174,CPA,2026-09-16,10:25,"ANC,MIA,ATL",,,departure,2026-09-14T14:20:03+08:00
CX 3241_2026-09-16,CX 3241,CPA,2026-09-16,10:45,CGK,,,departure,2026-09-14T14:20:03+08:00
EK 9025_2026-09-16,EK 9025,UAE,2026-09-16,10:55,DWC,,,departure,2026-09-14T14:20:03+08:00
5X 003_2026-09-16,5X 003,UPS,2026-09-16,11:25,"BLR,CGN,PHL",,,departure,2026-09-14T14:20:03+08:00
T8 4728_2026-09-16,T8 4728,TVR,2026-09-16,12:00,DMM,,,departure,2026-09-14T14:20:03+08:00
CX 3745_2026-09-16,CX 3745,CPA,2026-09-16,12:00,BOM,,,departure,2026-09-14T14:20:03+08:00
3V 400_2026-09-16,3V 400,TAY,2026-09-16,12:25,"DWC,LGG",,,departure,2026-09-14T14:20:03+08:00
5Y 8131_2026-09-16,5Y 8131,GTI,2026-09-16,12:40,DEL,,,departure,2026-09-14T14:20:03+08:00
CV 261_2026-09-16,CV 261,CLX,2026-09-16,13:00,"ANC,JFK",,,departure,2026-09-14T14:20:03+08:00
TK 6237_2026-09-16,TK 6237,THY,2026-09-16,13:15,IST,,,departure,2026-09-14T14:20:03+08:00
CX 3294_2026-09-16,CX 3294,CPA,2026-09-16,13:30,"ANC,JFK",,,departure,2026-09-14T14:20:03+08:00
EK 9781_2026-09-16,EK 9781,UAE,2026-09-16,13:35,DWC,,,departure,2026-09-14T14:20:03+08:00
KJ 970_2026-09-16,KJ 970,AIH,2026-09-16,14:00,ICN,,,departure,2026-09-14T14:20:03+08:00
RH 9487_2026-09-16,RH 9487,HKC,2026-09-16,14:00,"ALA,IST",,,departure,2026-09-14T14:20:03+08:00
K4 557_2026-09-16,K4 557,CKS,2026-09-16,14:15,"NRT,ORD",,,departure,2026-09-14T14:20:03+08:00
WW 862_2026-09-16,WW 862,KXP,2026-09-16,14:45,KUL,,,departure,2026-09-14T14:20:03+08:00
QR 8465_2026-09-16,QR 8465,QTR,2026-09-16,14:50,DOH,,,departure,2026-09-14T14:20:03+08:00
SR 815_2026-09-16,SR 815,XKY,2026-09-16,15:15,CRK,,,departure,2026-09-14T14:20:03+08:00
KZ 206_2026-09-16,KZ 206,NCA,2026-09-16,15:30,NRT,,,departure,2026-09-14T14:20:03+08:00
EK 9239_2026-09-16,EK 9239,UAE,2026-09-16,15:35,DWC,,,departure,2026-09-14T14:20:03+08:00
5X 001_2026-09-16,5X 001,UPS,2026-09-16,15:40,"CGN,PHL",,,departure,2026-09-14T14:20:03+08:00
EY 9726_2026-09-16,EY 9726,ETD,2026-09-16,15:50,AUH,,,departure,2026-09-14T14:20:03+08:00
5X 166_2026-09-16,5X 166,UPS,2026-09-16,16:00,"SIN,SDF",,,departure,2026-09-14T14:20:03+08:00
5X 061_2026-09-16,5X 061,UPS,2026-09-16,16:05,"TPE,ANC,SDF",,,departure,2026-09-14T14:20:03+08:00
P9 881_2026-09-16,P9 881,MGE,2026-09-16,16:10,GUM,,,departure,2026-09-14T14:20:03+08:00
ET 3629_2026-09-16,ET 3629,ETH,2026-09-16,16:15,ADD,,,departure,2026-09-14T14:20:03+08:00
CX 3037_2026-09-16,CX 3037,CPA,2026-09-16,16:15,HAN,,,departure,2026-09-14T14:20:03+08:00
K4 270_2026-09-16,K4 270,CKS,2026-09-16,16:30,"GYD,LGG",,,departure,2026-09-14T14:20:03+08:00
3S 519_2026-09-16,3S 519,BOX,2026-09-16,17:00,LEJ,,,departure,2026-09-14T14:20:03+08:00
CX 041_2026-09-16,CX 041,CPA,2026-09-16,17:05,DEL,,,departure,2026-09-14T14:20:03+08:00
RH 9375_2026-09-16,RH 9375,HKC,2026-09-16,17:10,MAA,,,departure,2026-09-14T14:20:03+08:00
7L 923_2026-09-16,7L 923,AZG,2026-09-16,17:20,GYD,,,departure,2026-09-14T14:20:03+08:00
